"model_id","reference_datetime","datetime","variable","prediction"
"OneDProcessModel",2022-01-08,2022-01-19,"chlorophyll-a",16.6639001096968
"OneDProcessModel",2022-01-08,2022-01-20,"chlorophyll-a",18.5813233099102
"OneDProcessModel",2022-01-08,2022-01-21,"chlorophyll-a",17.2647231481847
"OneDProcessModel",2022-01-08,2022-01-22,"chlorophyll-a",21.3638322543062
"OneDProcessModel",2022-01-08,2022-01-23,"chlorophyll-a",23.744871787979
"OneDProcessModel",2022-01-08,2022-01-24,"chlorophyll-a",23.6460976835853
"OneDProcessModel",2022-01-08,2022-01-25,"chlorophyll-a",22.5973740426418
"OneDProcessModel",2022-01-08,2022-01-26,"chlorophyll-a",18.1857660429958
"OneDProcessModel",2022-01-08,2022-01-27,"chlorophyll-a",16.6124788077199
"OneDProcessModel",2022-01-08,2022-01-28,"chlorophyll-a",18.0494663075305
"OneDProcessModel",2022-01-08,2022-01-29,"chlorophyll-a",20.3554451066409
"OneDProcessModel",2022-01-08,2022-01-30,"chlorophyll-a",21.3539839427929
"OneDProcessModel",2022-01-08,2022-01-31,"chlorophyll-a",21.2914703228977
"OneDProcessModel",2022-01-08,2022-02-01,"chlorophyll-a",21.889730019382
"OneDProcessModel",2022-01-08,2022-02-02,"chlorophyll-a",22.1637791038447
"OneDProcessModel",2022-01-08,2022-02-03,"chlorophyll-a",22.3608864242811
"OneDProcessModel",2022-01-08,2022-02-04,"chlorophyll-a",19.3391619043205
"OneDProcessModel",2022-01-08,2022-02-05,"chlorophyll-a",19.2209913092629
"OneDProcessModel",2022-01-08,2022-02-06,"chlorophyll-a",18.8746427464129
"OneDProcessModel",2022-01-08,2022-02-07,"chlorophyll-a",21.6248057731106
"OneDProcessModel",2022-01-08,2022-02-08,"chlorophyll-a",18.1631888897357
"OneDProcessModel",2022-01-08,2022-02-09,"chlorophyll-a",19.5093466395109
"OneDProcessModel",2022-01-08,2022-02-10,"chlorophyll-a",19.2679854385574
"OneDProcessModel",2022-01-08,2022-02-11,"chlorophyll-a",21.4563825912371
"OneDProcessModel",2022-01-08,2022-02-12,"chlorophyll-a",23.5122376400806
"OneDProcessModel",2022-01-09,2022-01-09,"chlorophyll-a",11.8284027777778
"OneDProcessModel",2022-01-09,2022-01-10,"chlorophyll-a",10.5898737469299
"OneDProcessModel",2022-01-09,2022-01-11,"chlorophyll-a",11.3130916088736
"OneDProcessModel",2022-01-09,2022-01-12,"chlorophyll-a",11.4545064985292
"OneDProcessModel",2022-01-09,2022-01-13,"chlorophyll-a",9.4598310244533
