"model_id","reference_datetime","datetime","variable","prediction"
"LSTM",2022-01-16,2022-01-23,"chlorophyll-a",9.39482402801514
"LSTM",2022-01-16,2022-01-24,"chlorophyll-a",9.38860416412354
"LSTM",2022-01-16,2022-01-25,"chlorophyll-a",9.38551425933838
"LSTM",2022-01-16,2022-01-26,"chlorophyll-a",9.3839225769043
"LSTM",2022-01-16,2022-01-27,"chlorophyll-a",9.38307189941406
"LSTM",2022-01-16,2022-01-28,"chlorophyll-a",9.3825101852417
"LSTM",2022-01-16,2022-01-29,"chlorophyll-a",9.38216781616211
"LSTM",2022-01-16,2022-01-30,"chlorophyll-a",9.38199806213379
"LSTM",2022-01-16,2022-01-31,"chlorophyll-a",9.38192367553711
"LSTM",2022-01-16,2022-02-01,"chlorophyll-a",9.38193321228027
"LSTM",2022-01-16,2022-02-02,"chlorophyll-a",9.38193893432617
"LSTM",2022-01-16,2022-02-03,"chlorophyll-a",9.38194370269775
"LSTM",2022-01-16,2022-02-04,"chlorophyll-a",9.38194847106934
"LSTM",2022-01-16,2022-02-05,"chlorophyll-a",9.38195037841797
"LSTM",2022-01-17,2022-01-17,"chlorophyll-a",15.7453472222222
"LSTM",2022-01-17,2022-01-18,"chlorophyll-a",9.78748893737793
"LSTM",2022-01-17,2022-01-19,"chlorophyll-a",9.6093168258667
"LSTM",2022-01-17,2022-01-20,"chlorophyll-a",9.50480365753174
"LSTM",2022-01-17,2022-01-21,"chlorophyll-a",9.45225524902344
"LSTM",2022-01-17,2022-01-22,"chlorophyll-a",9.42543697357178
"LSTM",2022-01-17,2022-01-23,"chlorophyll-a",9.40997791290283
"LSTM",2022-01-17,2022-01-24,"chlorophyll-a",9.40100765228272
"LSTM",2022-01-17,2022-01-25,"chlorophyll-a",9.39667701721191
"LSTM",2022-01-17,2022-01-26,"chlorophyll-a",9.39392471313477
"LSTM",2022-01-17,2022-01-27,"chlorophyll-a",9.39258289337158
"LSTM",2022-01-17,2022-01-28,"chlorophyll-a",9.3919038772583
"LSTM",2022-01-17,2022-01-29,"chlorophyll-a",9.39154720306396
"LSTM",2022-01-17,2022-01-30,"chlorophyll-a",9.39131736755371
"LSTM",2022-01-17,2022-01-31,"chlorophyll-a",9.39118099212646
"LSTM",2022-01-17,2022-02-01,"chlorophyll-a",9.39111518859863
"LSTM",2022-01-17,2022-02-02,"chlorophyll-a",9.39108657836914
"LSTM",2022-01-17,2022-02-03,"chlorophyll-a",9.39108943939209
"LSTM",2022-01-17,2022-02-04,"chlorophyll-a",9.39109134674072
"LSTM",2022-01-17,2022-02-05,"chlorophyll-a",9.39109325408936
"LSTM",2022-01-17,2022-02-06,"chlorophyll-a",9.39109516143799
"LSTM",2022-01-18,2022-01-18,"chlorophyll-a",16.5488111888112
"LSTM",2022-01-18,2022-01-19,"chlorophyll-a",9.75209331512451
"LSTM",2022-01-18,2022-01-20,"chlorophyll-a",9.59346675872803
"LSTM",2022-01-18,2022-01-21,"chlorophyll-a",9.50635528564453
"LSTM",2022-01-18,2022-01-22,"chlorophyll-a",9.45637321472168
"LSTM",2022-01-18,2022-01-23,"chlorophyll-a",9.43167877197266
"LSTM",2022-01-18,2022-01-24,"chlorophyll-a",9.41927719116211
